code,name,mktcap_raw,market_cap_yuan
000680,山推股份,1666658.441932,16666584419.32
688507,索辰科技,1666334.2608,16663342608.0
002943,宇晶股份,1665585.4716,16655854716.0
002706,良信股份,1664471.27964,16644712796.400002
301031,中熔电气,1664131.786045,16641317860.449999
300455,航天智装,1661632.77184,16616327718.400002
300576,容大感光,1661476.93902,16614769390.199999
300761,立华股份,1660305.698103,16603056981.029999
600528,中铁工业,1659499.036236,16594990362.36
688131,皓元医药,1657804.832736,16578048327.359999
000620,盈新发展,1655851.84128,16558518412.800001
601068,中铝国际,1655261.291918,16552612919.18
603505,金石资源,1654720.886358,16547208863.580002
600779,水井坊,1654585.854012,16545858540.119999
002906,华阳集团,1652445.141068,16524451410.68
688759,必贝特,1650284.421219,16502844212.189999
300133,华策影视,1642795.75347,16427957534.7
300146,汤臣倍健,1642618.397101,16426183971.01
002508,老板电器,1642303.836008,16423038360.08
688116,天奈科技,1642063.58848,16420635884.8
301312,智立方,1641027.847704,16410278477.04
603991,至正股份,1640865.83395,16408658339.499998
002984,森麒麟,1640442.116793,16404421167.929998
600531,豫光金铅,1638550.95579,16385509557.9
600651,飞乐音响,1637089.293795,16370892937.95
603868,飞科电器,1633500.0,16335000000.0
002745,木林森,1632583.0389,16325830389.0
603162,海通发展,1631376.49158,16313764915.8
603938,三孚股份,1629980.35722,16299803572.199999
002936,郑州银行,1627484.353082,16274843530.82
001369,双欣材料,1626446.0,16264460000.0
688698,伟创电气,1624218.831886,16242188318.86
300489,光智科技,1623693.61878,16236936187.8
605389,DR长龄液,1623630.739588,16236307395.880001
600867,通化东宝,1621673.462412,16216734624.119999
688661,XD和林微,1616845.90777,16168459077.699999
600345,长江通信,1616417.895328,16164178953.279999
002410,广联达,1615601.566476,16156015664.76
000927,中国铁物,1615444.422147,16154444221.47
301658,首航新能,1613608.251255,16136082512.55
600589,大位科技,1612351.50054,16123515005.4
300065,海兰信,1609753.86596,16097538659.6
300777,中简科技,1603613.387439,16036133874.39
300002,神州泰岳,1603246.70079,16032467007.9
601921,浙版传媒,1600000.00056,16000000005.6
600783,鲁信创投,1599628.122806,15996281228.060001
688258,卓易信息,1597866.10603,15978661060.3
603317,天味食品,1593878.046618,15938780466.179998
688515,裕太微,1592000.0,15920000000.0
688401,路维光电,1590293.016375,15902930163.749998
300957,贝泰妮,1590194.4,15901944000.0
601811,新华文轩,1589187.208,15891872080.000002
002958,青农商行,1588908.261226,15889082612.26
603858,步长制药,1588180.073652,15881800736.519999
002539,云图控股,1588156.74703,15881567470.3
002565,顺灏股份,1587863.405156,15878634051.560001
000767,晋控电力,1584625.242785,15846252427.85
600821,金开新能,1583696.587165,15836965871.65
000762,西藏矿业,1582769.67036,15827696703.6
600761,安徽合力,1580088.958014,15800889580.14
301292,海科新源,1579844.861798,15798448617.980001
601965,中国汽研,1576802.282364,15768022823.640001
600633,浙数文化,1572412.34528,15724123452.8
002925,盈趣科技,1565716.508537,15657165085.37
600113,浙江东日,1561723.05528,15617230552.8
002847,盐津铺子,1560717.492917,15607174929.17
002583,海能达,1560375.428898,15603754288.98
300607,拓斯达,1557314.92518,15573149251.800001
603936,博敏电子,1556579.385648,15565793856.480001
300007,汉威科技,1556021.581488,15560215814.88
301371,敷尔佳,1555631.064,15556310640.0
601619,嘉泽新能,1552528.260335,15525282603.35
603355,莱克电气,1552185.023906,15521850239.06
002897,意华股份,1550851.687304,15508516873.039999
001308,康冠科技,1550409.022782,15504090227.82
300182,捷成股份,1550346.517824,15503465178.24
002946,新乳业,1549218.9546,15492189546.0
603297,永新光学,1548454.4586,15484544586.0
600850,电科数字,1547452.135775,15474521357.75
688319,欧林生物,1547373.7446,15473737446.0
600928,西安银行,1546666.66686,15466666668.6
301589,诺瓦星云,1545915.456,15459154560.0
601101,昊华能源,1543677.776672,15436777766.720001
601133,柏诚股份,1542869.834928,15428698349.28
688811,有研复材,1542646.335375,15426463353.75
002544,普天科技,1541409.26085,15414092608.5
000901,航天科技,1539730.512174,15397305121.74
300676,华大基因,1536478.616475,15364786164.75
605118,力鼎光电,1533607.185,15336071850.0
000422,湖北宜化,1530231.689784,15302316897.84
002607,中公教育,1529515.048472,15295150484.720001
300843,胜蓝股份,1529355.128688,15293551286.88
002643,万润股份,1529343.435825,15293434358.25
000563,陕国投Ａ,1529077.137042,15290771370.42
688383,新益昌,1529068.2995,15290682995.0
688233,神工股份,1528323.674864,15283236748.64
920808,曙光数创,1526800.007634,15268000076.34
003018,金富科技,1526460.0,15264600000.0
688029,南微医学,1525508.914062,15255089140.62
300322,硕贝德,1525026.477195,15250264771.95
600750,华润江中,1524836.280311,15248362803.11
600456,宝钛股份,1519810.351559,15198103515.59
