code,name,market_cap
002557,洽洽食品,10754481637.039999
002558,巨人网络,49680689921.939995
002563,森马服饰,14682791372.0
002565,顺灏股份,15783235048.58
002568,百润股份,19353368364.579998
002579,中京电子,10567671195.0
002580,圣阳股份,10466218978.58
002583,海能达,15294588994.21
002585,双星新材,12748573576.04
002588,史丹利,10505254857.6
002594,比亚迪,860845794087.3
002595,豪迈科技,60412800000.0
002597,金禾实业,12474621322.1
002600,领益智造,115031047223.2
002601,龙佰集团,34619281773.12
002602,世纪华通,108791271072.71999
002603,以岭药业,26580922532.16
002607,中公教育,15110128503.050001
002608,江苏国信,32000335092.88
002611,东方精工,21375548130.399998
002617,露笑科技,19397207362.48
002624,完美世界,26887962079.440002
002625,光启技术,92151722857.74
002635,安洁科技,11623680993.119999
002636,金安国纪,36261680000.0
002639,雪人集团,12883919206.48
002643,万润股份,14979628221.750002
002645,华宏科技,19694099296.8
002647,仁东控股,12998354055.5
002648,卫星化学,79668470568.5
002653,海思科,57082218930.9
002654,万润科技,13888320797.919998
002655,共达电声,15232622160.0
002670,国盛证券,22176070123.379997
002673,西部证券,30124980691.7
002675,东诚药业,10340430140.7
002683,广东宏大,25516940415.54
002690,美亚光电,13665725661.0
002698,博实股份,13160367470.25
002701,奥瑞金,13029180787.210001
002703,浙江世宝,16452647680.0
002705,新宝股份,10042903398.6
002706,良信股份,16184231538.199999
002709,天赐材料,103395851655.68
002714,牧原股份,215044075558.25
